,date,rConsumption,USGrowth,GDPDef,RFR,qt,year,GDPDef_p,RFR_Q,Rt,mt
25,1977-04-01,3954.5959999999995,1.36,33.172,4.84,2,1977,0.014093118522821024,-0.0019931185228210246,0.9908329898515633,0.9583931281060886
26,1977-07-01,3991.989,1.3666666666666667,33.576,5.496666666666666,3,1977,0.012178946099119736,0.0015627205675469297,0.992723014685194,0.935646754742075
27,1977-10-01,4052.01,1.3533333333333333,34.301,6.11,4,1977,0.02159280438408384,-0.006317804384083841,0.9686510980549405,0.9052075323569841
28,1978-01-01,4074.7740000000003,1.313333333333333,34.8,6.393333333333333,1,1978,0.014547680825631737,0.0014356525077015951,0.9558956689280627,0.9572758158309183
29,1978-04-01,4161.887,1.4666666666666668,35.465,6.476666666666667,2,1978,0.01910919540229905,-0.002917528735632384,1.0976420736332344,0.8719963081744693
30,1978-07-01,4179.363,1.5933333333333333,36.067,7.313333333333333,3,1978,0.01697448188354711,0.001308851449786222,1.069389154480089,0.965420107167707
31,1978-10-01,4213.088,1.4766666666666668,36.806,8.57,4,1978,0.020489644273158136,0.0009353557268418633,0.9062885984046662,0.9433928346315307
32,1979-01-01,4234.909000000001,1.5933333333333333,37.476,9.383333333333331,1,1979,0.01820355376840732,0.005254779564926006,1.060803218240622,0.9597848306042577
33,1979-04-01,4232.159000000001,1.68,38.394,9.376666666666665,2,1979,0.02449567723342927,-0.0010540105667626067,1.0298976282059014,0.9938660075530015
34,1979-07-01,4273.342000000001,1.8266666666666669,39.234,9.673333333333332,3,1979,0.021878418502891073,0.0023049148304422583,1.0654231687986964,0.9341167086400664
35,1979-10-01,4283.975,1.8795454545454544,39.961999999999996,11.843333333333332,4,1979,0.018555334658714173,0.011052998674619157,1.010392906880768,0.9753478602827691
36,1980-01-01,4277.851,1.9611290322580643,40.801,13.353333333333332,1,1980,0.020994945197938097,0.01238838813539523,1.0224110695463768,0.9985339570792748
37,1980-04-01,4181.51,1.9306349206349207,41.772,9.616666666666665,2,1980,0.023798436312835403,0.00024323035383125996,0.9606523004201615,1.134985410168899
38,1980-07-01,4227.379,2.2534375,42.705,9.15333333333333,3,1980,0.022335535765584558,0.0005477975677487673,1.1448646821082953,0.9272715153361094
39,1980-10-01,4284.494000000001,2.485873015873016,43.818000000000005,13.613333333333332,4,1980,0.026062521952933126,0.007970811380400206,1.0770845659396826,0.9134085545657624
40,1981-01-01,4298.847,2.470806451612903,44.972,14.39,1,1981,0.02633620886393717,0.009638791136062828,0.9676029166811295,0.9703323214450146
41,1981-04-01,4299.16,2.5734920634920635,45.863,14.906666666666666,2,1981,0.019812327670550633,0.01745433899611603,1.0217472254106423,0.9895676174806378
42,1981-07-01,4319.0470000000005,2.4684375,46.726000000000006,15.053333333333331,3,1981,0.01881691123563667,0.018816422097696656,0.9403612945251725,0.9629622546045632
43,1981-10-01,4289.504,2.4190625,47.534,11.75,4,1981,0.017292299790266474,0.012082700209733524,0.9627051682436619,1.0316213278170576
44,1982-01-01,4321.1,2.2572580645161286,48.188,12.81333333333333,1,1982,0.013758572811040537,0.018274760522292793,0.9193541783130535,0.947352827325288
45,1982-04-01,4334.262,2.273174603174603,48.81399999999999,12.42,2,1982,0.012990786087822448,0.018059213912177553,0.9940604850577683,0.9720981909129315
46,1982-07-01,4363.318,2.2846875,49.506,9.316666666666666,3,1982,0.0141762609087559,0.009115405757910765,0.9908884168372116,0.9510973294133253
47,1982-10-01,4439.749,2.7996875,50.019,7.906666666666665,4,1982,0.010362380317537223,0.009404286349129442,1.2150513797700022,0.8920431857521566
48,1983-01-01,4483.645,3.0912698412698414,50.397,8.106666666666666,1,1983,0.0075571282912494375,0.012709538375417228,1.0965910458424142,0.9332508353231697
49,1983-04-01,4574.944,3.4882539682539684,50.771,8.396666666666665,2,1983,0.0074210766513880255,0.013570590015278636,1.120999975980191,0.8772185682797636
50,1983-07-01,4656.982,3.59296875,51.31100000000001,9.14,3,1983,0.010635992988123233,0.01221400701187677,1.019383260970741,0.8898617373447668
51,1983-10-01,4731.194,3.5842857142857145,51.7,8.8,4,1983,0.007581220401083444,0.014418779598916558,0.9900021051665867,0.9004052363174153
52,1984-01-01,4770.457,3.45968253968254,52.223,9.17,1,1984,0.010116054158607168,0.012808945841392833,0.955120206414441,0.9421061086610848
53,1984-04-01,4837.29,3.3622222222222224,52.67,9.796666666666665,2,1984,0.008559446986959873,0.01593221967970679,0.9632702465347872,0.9107147296196745
54,1984-07-01,4873.165,3.4944444444444445,53.138000000000005,10.32,3,1984,0.008885513575090265,0.016914486424909735,1.030440329121539,0.9470681763289562
55,1984-10-01,4936.293,3.62765625,53.536,8.803333333333333,4,1984,0.00748993187549396,0.01451840145783937,1.0306310935617078,0.9164237026880262
